file,seq_len_bp,n_orfs,orfs_per_kb,mean_cai_percent,n_nonstandard_start_orfs,pct_nonstandard_start_orfs,seq_shannon_entropy,seq_repeat_count,seq_repeat_fraction
0095_Bierre-l_s-Semur.fasta,1414,0,0.000,,0,,1.9691,758,0.5380
0096_Limpach_Switzerland.fasta,4252,2,0.470,51.56,2,100.0,1.9515,3380,0.7959
0097_Doctor_Sivana.fasta,3347,3,0.896,47.51,3,100.0,1.9517,2604,0.7792
0098_Pawe_Szymczak.fasta,4393,3,0.683,57.32,3,100.0,1.9660,3424,0.7803
0099_Lars_S_ndergaard.fasta,4955,1,0.202,50.12,1,100.0,1.9805,3969,0.8018
0100_Thomas_Gold.fasta,1910,2,1.047,56.37,1,50.0,1.9762,1268,0.6656
0101_Spiderbait.fasta,4283,5,1.167,49.25,4,80.0,1.9580,3355,0.7842
0102_Harwich.fasta,4424,1,0.226,43.70,1,100.0,1.9791,3372,0.7631
0103_Impact_TV_series_.fasta,2462,1,0.406,49.38,1,100.0,1.9446,1803,0.7338
0104_Marion_County_West_Virginia.fasta,2010,0,0.000,,0,,1.9468,1331,0.6638
0105_The_Evening_Star.fasta,4457,7,1.571,57.09,5,71.4,1.9475,3634,0.8163
0106_Beefalo.fasta,2817,1,0.355,52.63,1,100.0,1.9628,1896,0.6743
0107_Sch_ngeising.fasta,4603,7,1.521,50.67,5,71.4,1.9719,3591,0.7810
0108_Andrew_Motion.fasta,1380,1,0.725,47.40,0,0.0,1.9729,818,0.5949
0109_Atmospheric_optics.fasta,1530,1,0.654,47.24,1,100.0,1.9465,977,0.6407
0110_Scottish_Premier_League.fasta,3979,4,1.005,49.76,4,100.0,1.9451,3375,0.8493
0111_Montevideo_Convention.fasta,772,0,0.000,,0,,1.9291,439,0.5724
0112_Villers-en-Argonne.fasta,4981,8,1.606,53.77,6,75.0,1.9585,3883,0.7803
0113_Adikhalamani.fasta,1865,1,0.536,49.28,0,0.0,1.9492,1221,0.6565
0114_Grillby.fasta,3543,5,1.411,51.78,5,100.0,1.9706,2742,0.7750
0115_Voivres-l_s-le-Mans.fasta,1566,2,1.277,49.57,2,100.0,1.9354,1032,0.6611
0116_Sid_Ahmed_Ferroukhi.fasta,1251,1,0.799,59.20,0,0.0,1.9605,649,0.5209
0117_Deanston.fasta,2937,2,0.681,50.62,2,100.0,1.9688,1993,0.6797
0118_Grant_County_Washington.fasta,2564,4,1.560,50.59,4,100.0,1.9572,1843,0.7202
0119_Coatl_n_del_R_o.fasta,3749,5,1.334,53.15,5,100.0,1.9638,2759,0.7369
0120_Maupas_Gers.fasta,688,0,0.000,,0,,1.9401,389,0.5695
0121_Redoute_s_Choice.fasta,4216,4,0.949,51.09,3,75.0,1.9593,3300,0.7837
0122_Nummi-Pusula.fasta,1037,0,0.000,,0,,1.9485,540,0.5233
0123_Super_Mario_Kart.fasta,921,0,0.000,,0,,1.9462,516,0.5633
0124_Led_Zeppelin_III.fasta,3599,5,1.389,52.34,5,100.0,1.9525,2820,0.7846
0125_Rock_flour.fasta,2328,1,0.430,54.80,0,0.0,1.9604,1603,0.6901
0126_Maliyapham_Palcha.fasta,3278,3,0.915,49.20,3,100.0,1.9606,2387,0.7293
0127_The_Great_Race.fasta,1155,1,0.866,43.44,1,100.0,1.9262,664,0.5774
0128_Novus_ordo_seclorum.fasta,2728,0,0.000,,0,,1.9533,1984,0.7286
